        股號                         名稱      收盤價        狀態                                  原因
   6906.TW                        現觀科    68.00      均線糾纏      MA5/10/20 乖離率僅 0.85%，移動平均線高度重合
   3563.TW                         牧德   775.00      進入盤整    ADX 指標為 11.15 (低於 20)，市場目前缺乏推升動能
  6279.TWO                         胡連   109.00      均線糾纏      MA5/10/20 乖離率僅 0.99%，移動平均線高度重合
  3324.TWO                         雙鴻   920.00      進入盤整    ADX 指標為 16.15 (低於 20)，市場目前缺乏推升動能
   2910.TW                         統領    21.20      均線糾纏      MA5/10/20 乖離率僅 1.34%，移動平均線高度重合
  3577.TWO                         泓格    71.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3357.TWO                        臺慶科   145.50      進入盤整    ADX 指標為 17.64 (低於 20)，市場目前缺乏推升動能
  4609.TWO                         唐鋒     5.12      均線糾纏      MA5/10/20 乖離率僅 1.25%，移動平均線高度重合
   2254.TW                     巨鎧精密-創    70.10      均線糾纏      MA5/10/20 乖離率僅 0.76%，移動平均線高度重合
   2369.TW                         菱生    30.25      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6146.TWO                         耕興   194.00      均線糾纏      MA5/10/20 乖離率僅 0.82%，移動平均線高度重合
  6221.TWO                         晉泰    26.25      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2250.TW                    IKKA-KY    60.80      均線糾纏      MA5/10/20 乖離率僅 1.47%，移動平均線高度重合
  7751.TWO                         竑騰  1515.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8489.TWO                        三貝德    26.15      均線糾纏      MA5/10/20 乖離率僅 1.20%，移動平均線高度重合
   1773.TW                         勝一   141.50      均線糾纏      MA5/10/20 乖離率僅 1.11%，移動平均線高度重合
  6844.TWO                        諾貝兒    63.30      均線糾纏      MA5/10/20 乖離率僅 0.23%，移動平均線高度重合
   6931.TW                       青松健康    51.00      均線糾纏      MA5/10/20 乖離率僅 0.57%，移動平均線高度重合
   4956.TW                         光鋐    32.35      趨勢運行                    股價具備方向性，未達盤整過濾標準
   5876.TW                       上海商銀    39.25      均線糾纏      MA5/10/20 乖離率僅 0.11%，移動平均線高度重合
   4977.TW                      眾達-KY   182.50      進入盤整    ADX 指標為 10.25 (低於 20)，市場目前缺乏推升動能
 00632R.TW                   元大台灣50反1    14.14      均線糾纏      MA5/10/20 乖離率僅 0.38%，移動平均線高度重合
  8935.TWO                         邦泰    19.30      均線糾纏      MA5/10/20 乖離率僅 1.04%，移動平均線高度重合
  8342.TWO                         益張    88.30      均線糾纏      MA5/10/20 乖離率僅 1.26%，移動平均線高度重合
   3704.TW                        合勤控    33.05      均線糾纏      MA5/10/20 乖離率僅 0.18%，移動平均線高度重合
   8213.TW                         志超    33.65      進入盤整    ADX 指標為 17.13 (低於 20)，市場目前缺乏推升動能
  5227.TWO                      立凱-KY    23.45      進入盤整    ADX 指標為 12.94 (低於 20)，市場目前缺乏推升動能
  3521.TWO                       台鋼建設    13.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3564.TWO                         其陽    40.25      進入盤整    ADX 指標為 12.57 (低於 20)，市場目前缺乏推升動能
  6419.TWO                        京晨科    98.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2845.TW                        遠東銀    12.55      均線糾纏      MA5/10/20 乖離率僅 0.36%，移動平均線高度重合
   3266.TW                         昇陽    13.15      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
   2812.TW                        台中銀    20.75      均線糾纏      MA5/10/20 乖離率僅 0.28%，移動平均線高度重合
00959B.TWO                 大華投等美債15Y+     9.40      均線糾纏      MA5/10/20 乖離率僅 0.22%，移動平均線高度重合
   1324.TW                         地球    11.35      趨勢運行                    股價具備方向性，未達盤整過濾標準
  2724.TWO                      藝舍-KY    18.45      均線糾纏      MA5/10/20 乖離率僅 1.19%，移動平均線高度重合
  3232.TWO                         昱捷    22.55      均線糾纏      MA5/10/20 乖離率僅 0.48%，移動平均線高度重合
   2867.TW                        三商壽     7.73      均線糾纏      MA5/10/20 乖離率僅 0.70%，移動平均線高度重合
   4906.TW                         正文    39.65      進入盤整    ADX 指標為 17.20 (低於 20)，市場目前缺乏推升動能
00787B.TWO                 元大10年IG醫療債    32.79      均線糾纏      MA5/10/20 乖離率僅 0.28%，移動平均線高度重合
   1712.TW                         興農    44.10      均線糾纏      MA5/10/20 乖離率僅 0.04%，移動平均線高度重合
   1203.TW                         味王    39.40      均線糾纏      MA5/10/20 乖離率僅 0.54%，移動平均線高度重合
   2002.TW                         中鋼    19.50      均線糾纏      MA5/10/20 乖離率僅 0.24%，移動平均線高度重合
   2478.TW                         大毅    59.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6015.TWO                        宏遠證    13.40      均線糾纏      MA5/10/20 乖離率僅 0.40%，移動平均線高度重合
   4560.TW                      強信-KY    32.75      均線糾纏      MA5/10/20 乖離率僅 0.47%，移動平均線高度重合
  8291.TWO                         尚茂    14.40      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6865.TWO                       偉康科技    38.40      進入盤整    ADX 指標為 14.56 (低於 20)，市場目前缺乏推升動能
00845B.TWO                    富邦新興投等債    33.43      均線糾纏      MA5/10/20 乖離率僅 0.36%，移動平均線高度重合
   4532.TW                         瑞智    26.00      均線糾纏      MA5/10/20 乖離率僅 0.49%，移動平均線高度重合
   6988.TW                      威力暘-創    14.95      均線糾纏      MA5/10/20 乖離率僅 0.95%，移動平均線高度重合
   6582.TW                         申豐    33.65      趨勢運行                    股價具備方向性，未達盤整過濾標準
  5543.TWO                      桓鼎-KY    27.25      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6668.TW                        中揚光    34.40      均線糾纏      MA5/10/20 乖離率僅 0.75%，移動平均線高度重合
 020030.TW                   統一智慧電動車N    11.41      資料不足                   缺少 MA5/10/20 指標數據
  3691.TWO                         碩禾   105.50      進入盤整    ADX 指標為 14.95 (低於 20)，市場目前缺乏推升動能
   9136.TW                      巨騰-DR     8.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2897.TW                       王道銀行    10.05      均線糾纏      MA5/10/20 乖離率僅 0.51%，移動平均線高度重合
   3592.TW                         瑞鼎   225.00      均線糾纏      MA5/10/20 乖離率僅 1.00%，移動平均線高度重合
  4760.TWO                         勤凱   205.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4806.TWO                       桂田文創    11.10      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1718.TW                         中纖     7.48      均線糾纏      MA5/10/20 乖離率僅 0.37%，移動平均線高度重合
   6491.TW                         晶碩   281.50      均線糾纏      MA5/10/20 乖離率僅 0.12%，移動平均線高度重合
 00955.TWO                     中信日本商社    16.04      均線糾纏      MA5/10/20 乖離率僅 0.72%，移動平均線高度重合
  3078.TWO                         僑威    57.00      均線糾纏      MA5/10/20 乖離率僅 1.45%，移動平均線高度重合
   2484.TW                         希華    31.25      進入盤整    ADX 指標為 18.36 (低於 20)，市場目前缺乏推升動能
